Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Slope_mid_1_100s
SAMTEX.CPV013.2006,8.786735017899737,611976883.8673753,1489726693.202589,674839004.8267369,276325190.2301359,80,-0.30276248161061714
SAMTEX.CPV014.2006,8.252261492307401,178756355.7725579,481132760.6662405,378149086.612103,152310309.391944,80,-0.257828135984447
SAMTEX.CPV015.2006,8.246785544915683,176516596.45819807,368410129.37756366,264823014.78545916,134062541.42157544,80,-0.30083861545550955
SAMTEX.CPV016.2006,8.62065768574193,417501159.2900306,1113251022.4667497,601524517.7320018,246951810.50209382,80,-0.31903331568449955
SAMTEX.CPV017.2006,7.325184654560868,21143878.501730636,40716416.16410253,10998241.043076333,3691440.325351273,80,-0.551512736665031
SAMTEX.CPV018.2006,7.5651526321919675,36741140.403734945,71145104.8285334,40812820.71337363,39496982.23577069,80,-0.2357061140909508
SAMTEX.CPV019.2006,7.981664777108916,95866037.58242027,138265537.38616297,193524578.31687516,111596653.04443634,80,-0.14822637845625988
SAMTEX.CPV020.2006,8.146174786178921,140015071.39201543,114052098.6014695,247271585.56412074,211897465.4597034,80,0.0074307808226000025
SAMTEX.CPV021.2006,7.702277225717377,50382211.385712534,23439914.256725594,92697253.58838776,103176664.24599952,80,0.250063754403468
SAMTEX.CPV022.2006,7.321401904607036,20960512.854490716,4660213.708833473,35786127.18283313,40935115.56811073,80,0.4393639010976023
SAMTEX.CPV023.2006,7.068926170999241,11719961.121369308,3257640.745672363,21567392.34137031,37268722.73938321,80,0.5160498569208325
SAMTEX.CPV024.2006,7.482700486234146,30387885.84273286,11839878.525260461,39162912.88207874,46823805.432905614,80,0.29238392906772204
SAMTEX.CPV025.2006,7.410989891353769,25762611.912025243,24816882.85637805,45760098.05843428,34352396.96348004,80,0.02842922718028323
SAMTEX.CPV026.2006,7.995055051723371,98867841.28527509,49020596.38256212,156750275.27352336,243058995.03107256,80,0.28257270698809633
SAMTEX.CPV027.2006,7.527864580984325,33718215.421432585,15818138.353294661,53972510.17312674,101673380.97773628,80,0.33842151451628266
SAMTEX.CPV028.2006,7.142659065973573,13888619.054276332,7420558.780207372,17049742.706691757,34631275.963151135,80,0.3157760230435475
SAMTEX.CPV029.2006,7.0583741866528715,11438634.592164015,9014044.288934505,8391578.623271447,21402923.255549364,80,0.27728764216632384
SAMTEX.ELG001A.2008,7.864142145399553,73137842.58450218,107459277.6002871,6055960.44160852,4550918.414036501,88,-0.9809440813452183
SAMTEX.ELG002A.2008,7.753291717589915,56661976.232714295,27004499.600564394,53648.40788616707,36192.10491737418,100,-1.5194381902010508
SAMTEX.ELG003A.2008,7.885218499555398,76774765.66662587,80715070.79302362,43165666.37859651,626700.8683802842,88,-1.244685236024375
SAMTEX.ELG004B.2008,8.339812482946087,218681720.93226537,110376397.65906078,94337.09335180478,53264.42860670092,100,-1.5609828870495912
SAMTEX.ELG005A.2008,7.55371905868682,35786486.25500252,11576110.390163694,9679934.430547174,644607.4988251504,84,-0.23978863346893659
SAMTEX.ELG007A.2008,8.35398534290455,225935951.73365882,725789975.6733415,16146217.597225,832748.3771294632,96,-1.611287923283174
SAMTEX.ELG008A.2008,8.54653607128124,351994656.9993606,1274787776.995971,17408681.759675387,614021.1404724907,88,-1.8188917407622827
SAMTEX.ELG009A.2008,8.14076617735792,138282167.21260166,126541320.83015154,3629911.30374581,559354.2668314675,88,-1.0191100468808691
SAMTEX.ELG010A.2008,8.187861617769952,154120928.86137912,61130256.55558181,12548316.477800816,136177696.7925908,84,0.17203803348592417
SAMTEX.ELG011A.2008,8.456578835734103,286140173.2257248,144394961.0807736,4025597.449829192,1472596.0705462694,96,-1.0009549044726531
SAMTEX.ELG012B.2008,8.042187003839441,110201372.59671995,138471864.7909243,44608389.43261779,293663.7887675837,88,-1.4559134540964223
SAMTEX.ELG013A.2008,7.958163917047925,90816323.62301144,93181478.75256327,3254093.137148597,1605252.9650575623,88,-0.7639482785140995
SAMTEX.ELG014A.2008,7.662781006932978,46002454.76296294,6584705.024408352,46329049.48493061,72770231.06355704,84,0.4225392742176377
SAMTEX.ELG091A.2008,8.044987711522117,110914343.13099848,168148787.61798728,42462376.017352976,14771671.828720165,80,-0.5365815251856376
SAMTEX.ELG092A.2008,7.525640320092114,33545967.361173596,64366583.60808673,14251723.435554417,6738859.261020672,80,-0.44829609104460477
SAMTEX.ELG093A.2008,11.818205455948739,657969035601.7627,693160424833.7762,651966235288.7822,160827657870.4446,80,-0.41240081549061003
SAMTEX.ELG097A.2008,8.703811853605718,505605574.54399616,908121786.309782,247896539.39476165,67156792.11574905,80,-0.7066670238515371
SAMTEX.ELG913A.2008,8.020067864134287,104729218.8225635,103629785.26842162,104368286.2114671,123965092.39866054,80,0.015246001029282011
SAMTEX.ELG914B.2008,6.756662715923806,5710349.84210407,7153774.245267429,3598156.8469444853,1570816.5157219935,80,-0.3587868297292002
SAMTEX.ELZ001A.2008,7.4724638917837245,29679999.670374576,12317360.904425675,78939399.79895073,71768706.20366609,84,0.36687891009499485
SAMTEX.ELZ002A.2008,6.733630107735181,5415394.602122197,8020301.452617947,12378512.673372645,4567225.330892065,96,-0.5316997687961081
SAMTEX.ELZ003A.2008,7.555036354688806,35895198.11732062,13619044.990730187,11923940.557426302,533110.0897964184,84,-0.6748207737195059
SAMTEX.ELZ101A.2008,6.744770087321994,5556100.430515852,8242120.783597162,13891558.93787485,445535.0926379057,92,-0.49424700186540516
SAMTEX.ELZ102B.2008,7.124058081777132,13306323.625013625,14075450.170947652,89259098.97443114,1094527.825560025,96,-0.520770983028975
SAMTEX.ELZ103A.2008,6.9968632777314905,9928034.501402833,8673318.349019554,840147.9121248063,638902.3117620137,84,-0.5636935434623187
SAMTEX.ELZ191A.2008,7.117995200517312,13121853.976931171,10327024.726435665,11776976.562834146,26509266.289870314,76,0.2580004436544605
SAMTEX.ELZ192A.2008,7.340025410877198,21878896.351739723,19544197.52962686,18233118.282834265,52550482.07330731,80,0.20656089101340608
SAMTEX.ELZ201A.2008,6.89519431132625,7855870.420596646,7927781.700075241,4591443.358359051,1057808.6027320884,92,-0.6616638670780612
SAMTEX.ELZ291A.2008,7.236311639286658,17231045.899232633,10848642.98246517,32052679.952625047,66075378.50684716,76,0.3471291323697076
SAMTEX.ELZ294A.2008,6.9226765949686735,8369058.333628298,6369440.74029173,8384135.12207994,29454001.767350405,80,0.32652808801649436
SAMTEX.ELZ555A.2008,6.852323703165336,7117438.171570461,5506584.068868719,5324593.729813339,277922.06572051666,88,-0.5696395342343273
SAMTEX.ETO001A.2008,8.808033019545835,642736582.9235926,1239215970.208843,375106103.6629267,100974919.09925751,84,-0.6208325135152093
SAMTEX.ETO002A.2008,8.669726844282724,467441045.0872794,626634284.6979642,208453526.95382,112494331.82397282,88,-0.5171445889218539
SAMTEX.ETO003A.2008,9.17112411645842,1482941832.6207812,3615365654.544622,1022250997.4117262,214303239.79222938,84,-0.6295133766657388
SAMTEX.ETO004A.2008,8.522425115728549,332985341.55937123,1019147316.9127724,249452013.96939686,35609360.783807546,88,-0.732681744238244
SAMTEX.ETO005A.2008,8.744600194565582,555392735.0614845,1724846061.8768804,299976005.173708,44497429.75073885,84,-0.8045777000097717
SAMTEX.ETO006A.2008,8.695972054436183,496560368.23308766,1732709605.0571465,338652680.91838735,49019551.75582732,88,-0.8087236516261519
