Site,MedianLogRho,MedianRho,rho_T1s,rho_T10s,rho_T100s,Nperiods,Lat,Lon
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.59378333333333,25.565830555555557
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.08545,26.913888888888888
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-25.41933888888889,25.604166666666668
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.31545,25.642219444444443
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.361283333333336,24.317777777777778
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.569366666666667,24.29202777777778
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.252116666666662,24.206108333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.14545,23.648888888888887
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.509616666666663,25.773888888888887
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.093505555555556,27.2875
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.323505555555556,26.025
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-26.57795,26.818608333333337
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.965477777777775,22.998416666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-22.96600555555555,26.37638888888889
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-23.139366666666668,26.244247222222224
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.179616666666668,24.03
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.79322777777778,24.995
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-21.07795,27.093888888888888
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-20.17350555555556,23.831108333333333
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-22.49350555555556,26.441108333333332
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-22.377116666666662,26.590277777777775
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.865172222222224,25.366666666666667
Botswana Africa,9.084224278995046,1214015632.3475046,2611960590.866589,1267693478.1098793,728598056.7374158,88,-24.54547777777778,24.066472222222224
