Site,Skew,Lat,Lon,Is1D,Slope_1_100s
SAMTEX.kal018.2008,0.0664506073749358,-22.472116666666665,24.866469444444444,True,0.358774275434793
SAMTEX.kal019.2008,0.0336980444109295,-22.385838888888888,25.047027777777775,True,0.3629050483266936
SAMTEX.kal020.2008,0.0984772175203566,-22.27667222222222,25.204580555555555,True,0.322108231992793
SAMTEX.kal021.2008,0.0570455212896354,-22.175116666666668,25.34521944444444,True,0.4030024527238789
SAMTEX.kal022.2008,0.0534442291134805,-22.05583888888889,25.512108333333337,True,0.0620985509490249
SAMTEX.kal023.2008,0.0659221644535124,-21.938616666666668,25.672997222222225,True,0.0265839220336514
SAMTEX.kal024.2008,0.0711574006238089,-21.829894444444445,25.822941666666665,True,0.0599950755596147
SAMTEX.kap001.2003,0.1862325293017578,-32.39961666666667,20.20888888888889,True,-0.5349720867827872
SAMTEX.kap005.2003,0.1510264825233198,-31.83156111111111,20.7775,True,-0.0379763984669577
SAMTEX.kap008.2003,0.1870251322167543,-31.40545,21.189441666666667,True,0.2466486321108731
SAMTEX.kap010.2003,0.124582858556624,-31.14795,21.466941666666663,True,0.3027630587427535
SAMTEX.kap013.2003,0.1115329222588648,-30.73444166666667,21.89110833333333,True,0.8012715262227817
SAMTEX.kap017.2003,0.1434682557164794,-30.21878333333333,22.413888888888888,True,0.0181693116481414
SAMTEX.kap020.2003,0.1105621728506604,-29.804616666666668,22.855,True,0.3973258338892861
SAMTEX.kap024.2003,0.1381087896663674,-29.234894444444446,23.37,True,-0.0938161344935663
SAMTEX.kap034.2003,0.1343641419311567,-27.85683888888889,24.684166666666663,True,0.1470081551456168
SAMTEX.kap061.2003,0.1811040299941228,-24.116005555555557,28.123330555555555,True,-0.4088930352455839
SAMTEX.kap067.2003,0.1519423971823439,-23.174441666666667,28.948055555555555,True,-0.2644079753765871
SAMTEX.kap068.2003,0.1519423509939176,-23.174441666666667,28.948055555555555,True,-0.264407317032597
SAMTEX.kap074.2003,0.1550151917650475,-22.30989444444445,29.718055555555555,True,-0.5392502633710797
SAMTEX.kim009_H.2003-2006,0.1351930328817497,-28.734061111111114,24.5125,True,0.6228181800927902
