Site,File,Skew,Lat,Lon,Is1D,Tectonic_Unit
SAMTEX.rtz417.2005,SAMTEX.rtz417.2005.edi,0.0779792326134112,-23.630477777777777,20.926194444444445,True,paleoproterozoic_shields
SAMTEX.sso109.2005,SAMTEX.sso109.2005.edi,0.0783580969358983,-22.28721944444445,26.777219444444444,True,limpopo
SAMTEX.san010.2008,SAMTEX.san010.2008.edi,0.0785001332731715,-21.84683888888889,23.990886111111113,True,paleoproterozoic_belts
SAMTEX.mak009.2006,SAMTEX.mak009.2006.edi,0.0785404569044738,-20.19856111111111,24.51113611111111,True,paleoproterozoic_belts
SAMTEX.dmb030.2006,SAMTEX.dmb030.2006.edi,0.0787351197403699,-23.453477777777778,19.110997222222224,True,paleoproterozoic_shields
SAMTEX.bot230.2005,SAMTEX.bot230.2005.edi,0.0789809331072281,-23.810727777777775,22.901666666666664,True,archean
SAMTEX.oka003.2006,SAMTEX.oka003.2006.edi,0.0800304062519829,-20.182394444444444,22.463858333333334,True,mesoproterozoic_belts
SAMTEX.k2g010.2006,SAMTEX.k2g010.2006.edi,0.0804523842450157,-23.0877,22.252416666666665,True,archean
SAMTEX.RAK025A.2008,SAMTEX.RAK025A.2008.edi,0.0806213902304555,-17.833283333333334,18.940080555555557,True,paleoproterozoic_shields
SAMTEX.NEN021.2006,SAMTEX.NEN021.2006.edi,0.0822752965480135,-18.454533333333337,20.024775,True,paleoproterozoic_shields
SAMTEX.bot413.2005,SAMTEX.bot413.2005.edi,0.0835083753395052,-23.35072777777778,25.86305555555556,True,limpopo
SAMTEX.mof110.2005,SAMTEX.mof110.2005.edi,0.083762321619441,-20.96795,24.363330555555557,True,paleoproterozoic_belts
SAMTEX.kal017.2008,SAMTEX.kal017.2008.edi,0.0838093155476053,-22.6447,24.75638888888889,True,limpopo
SAMTEX.rtz420.2005,SAMTEX.rtz420.2005.edi,0.0838200683674518,-23.434644444444444,20.418972222222223,True,paleoproterozoic_shields
SAMTEX.RAK024A.2008,SAMTEX.RAK024A.2008.edi,0.0840506959639529,-17.834755555555553,18.76166388888889,True,paleoproterozoic_shields
SAMTEX.rtz403.2005,SAMTEX.rtz403.2005.edi,0.0860088455854884,-24.34221944444444,22.880830555555555,True,archean
SAMTEX.mol102.2005,SAMTEX.mol102.2005.edi,0.0865116911048443,-24.247222222222224,25.27694444444444,True,archean
SAMTEX.oka002.2006,SAMTEX.oka002.2006.edi,0.0875795684288722,-20.330783333333333,22.62063611111111,True,mesoproterozoic_belts
SAMTEX.RAK054A.2008,SAMTEX.RAK054A.2008.edi,0.0875994604076504,-17.801255555555556,24.619052777777775,True,mesoproterozoic_belts
SAMTEX.KXT005A_auto.tru.2008,SAMTEX.KXT005A_auto.tru.2008.edi,0.0883228964370274,-30.788144444444445,27.102061111111112,True,mesoproterozoic_belts
PRIDE.ZAM14B_RH_ZAM15B.2011-2012,PRIDE.ZAM14B_RH_ZAM15B.2011-2012.edi,0.0885020986855067,-16.349805555555555,22.497691666666668,True,neoproterozoic
SAMTEX.zim120.2005,SAMTEX.zim120.2005.edi,0.08920995622601,-19.68656111111111,26.043330555555556,True,paleoproterozoic_belts
