File,MedianLogRho_det,MedianRho_det,Nperiods
SAMTEX.RAK012A.2008.edi,6.917706373921906,8274628.191241011,88
SAMTEX.RAK013A.2008.edi,6.919272272274258,8306631.249792561,84
SAMTEX.RAK014A.2008.edi,6.846521065947498,7027760.052649299,88
SAMTEX.RAK015A.2008.edi,7.086560900483462,12205649.707458936,84
SAMTEX.RAK016A.2008.edi,7.130788677442226,13514158.3635921,88
SAMTEX.RAK017A.2008.edi,6.9784045334745635,9514924.426143892,84
SAMTEX.RAK018A.2008.edi,7.009982707890225,10232593.03470767,88
SAMTEX.RAK019A.2008.edi,7.173062182255675,14897264.526826076,84
SAMTEX.RAK020A.2008.edi,7.069162048011692,11726852.712482195,84
SAMTEX.RAK021A.2008.edi,6.950222253602622,8917078.6310287,84
SAMTEX.RAK022A.2008.edi,6.9991119018366295,9986374.122017477,84
SAMTEX.RAK023A.2008.edi,6.973476183241976,9416134.223253306,84
SAMTEX.RAK024A.2008.edi,6.94489751275859,8808448.644927055,80
SAMTEX.RAK025A.2008.edi,7.119610970277968,13179191.238063753,84
SAMTEX.RAK053A.2008.edi,7.076285362806209,11920370.773108542,88
SAMTEX.RAK054A.2008.edi,6.701491936804429,5030387.338914903,88
SAMTEX.RAK099A.2008.edi,6.508369015183513,3224840.4794978825,84
SAMTEX.bot201.2005.edi,9.462566503790907,2901125415.86525,47
SAMTEX.bot202.2005.edi,9.41492802209984,2599728660.8050413,47
SAMTEX.bot203.2005.edi,5.2852350904133365,192856.85951076628,47
SAMTEX.bot204.2005.edi,7.769095032764988,58761792.16201384,47
SAMTEX.bot205.2005.edi,10.616527770722898,41354975771.500984,47
SAMTEX.bot207.2005.edi,10.171445899141933,14840409988.473284,47
SAMTEX.bot208.2005.edi,9.59454929044464,3931418621.8532333,47
SAMTEX.bot209.2005.edi,6.702066110111717,5035772.595779008,47
SAMTEX.bot210.2005.edi,6.908989844236087,8109420.9414812215,47
SAMTEX.bot211.2005.edi,8.399431407494479,250904089.1921487,62
SAMTEX.bot212.2005.edi,9.349903377130422,2238223117.965672,47
SAMTEX.bot214.2005.edi,8.798629035551453,629462175.8832649,84
SAMTEX.bot215.2005.edi,9.298961203883811,1990495517.3755252,71
SAMTEX.bot216.2005.edi,9.595880622273008,3945596192.136613,84
SAMTEX.bot217.2005.edi,7.716032328636557,52003470.61832832,49
SAMTEX.bot218.2005.edi,9.288247368351868,1942167234.735352,52
SAMTEX.bot219.2005.edi,7.616750077945117,41376316.50315124,84
SAMTEX.bot220.2005.edi,8.764911315977788,582195057.352922,80
SAMTEX.bot221.2005.edi,7.717145451262617,52137071.29735329,52
SAMTEX.bot222.2005.edi,7.4325943155581475,27076615.158205613,80
SAMTEX.bot223.2005.edi,6.872799472499824,7461921.121638479,80
SAMTEX.bot224.2005.edi,8.197660076034381,157655690.84575394,72
