Site,File,Skew,Is1D
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g013.2006.edi,0.09321454793764788,True
"Hardap Region, Namibia, Africa",SAMTEX.GIB004A.2008.edi,0.09327201084031336,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g007.2006.edi,0.09340174396738875,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak010.2006.edi,0.09346379540288799,True
"Okavango Lake, Botswana, Africa",SAMTEX.oka006.2006.edi,0.09559368236107224,True
"NE Namibia, Africa",SAMTEX.CPV029.2006.edi,0.09572851052103369,True
"Kweneng, Botswana, Africa",SAMTEX.mol107.2005.edi,0.09794910166489476,True
"Tshane, Botswana, Africa",SAMTEX.rtz418.2005.edi,0.09817630534624415,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal020.2008.edi,0.09847721752035665,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM31B_RH_ZAM39B.2011-2012.edi,0.09912103387738644,True
"Kweneng, Botswana, Africa",SAMTEX.mol101.2005.edi,0.09983936897690289,True
"Botswana, Africa",SAMTEX.bot408.2005.edi,0.10099431289366675,True
"Northern Namibia, Africa",SAMTEX.RAK019A.2008.edi,0.10104011177077361,True
"Central Botswana, Africa",SAMTEX.san012.2008.edi,0.10120898433243421,True
"Botswana, Africa",SAMTEX.bot406.2005.edi,0.10172308256633542,True
"Kimberley, South Africa",SAMTEX.kim435.2004.edi,0.10220020302855837,True
"Weiveld, South Africa",SAMTEX.wita40.2005.edi,0.10260970859942066,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g006.2006.edi,0.10371614997340065,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g012.2006.edi,0.1051326995022539,True
"Makgadikgadi Park, Botswana, Africa",SAMTEX.mak002.2006.edi,0.105516470199454,True
"Coffiefontain, South Africa",SAMTEX.kof005.2004.edi,0.1077381130397271,True
"Kasane, Zimbabwe, Africa",SAMTEX.ELZ291A.2008.edi,0.10830420659431364,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g003.2006.edi,0.10838045248832895,True
"Botswana, Africa",SAMTEX.mof117.2005.edi,0.10847402505768161,True
"Barotse Basin, Western Province, Zambia",PRIDE.ZAM01B_RH_ZAM03B.2011-2012.edi,0.10862540016863416,True
"Zimbabwe, Africa",SAMTEX.zim119.2005.edi,0.1086564994512211,True
"Botswana, Africa",SAMTEX.bot411.2005.edi,0.11009530229992211,True
"NE Namibia, Africa",SAMTEX.CPV005.2006.edi,0.11042614542587828,True
South Africa,SAMTEX.kap020.2003.edi,0.11056217285066043,True
South Africa,SAMTEX.kap013.2003.edi,0.11153292225886481,True
"Botswana, Africa",SAMTEX.mof115.2005.edi,0.11177555122863768,True
"Botswana, Africa",SAMTEX.bota13.2005.edi,0.11198455868387296,True
"Zimbabwe, Africa",SAMTEX.zim128.2005.edi,0.11323919447616561,True
"Southern Botswana, Africa",SAMTEX.rtz207.2005.edi,0.11349124365932542,True
"Botswana, Africa",SAMTEX.mof125.2005.edi,0.11351956155665702,True
"Namibia, Africa",SAMTEX.dmb004.2006.edi,0.11361372063788484,True
"Kweneng, Botswana, Africa",SAMTEX.mol108.2005.edi,0.11385598359788439,True
"Botswana, Africa",SAMTEX.botb13.2005.edi,0.11393177347559227,True
"Zimbabwe, Africa",SAMTEX.zim130.2005.edi,0.11448312059729987,True
"Botswana, Africa",SAMTEX.mof118.2005.edi,0.11609747786664731,True
"Kalahari Game Reserve, Botswana, Africa",SAMTEX.kal001.2008.edi,0.11671232010562493,True
South Africa,SAMTEX.kap018.2003.edi,0.11719798978861613,True
"Botswana, Africa",SAMTEX.mof106.2005.edi,0.11867366744883166,True
"NE Namibia, Africa",SAMTEX.NEN023.2006.edi,0.11875970761681721,True
"Orapa, Botswana, Africa",SAMTEX.sso110.2005.edi,0.11988786701276544,True
"Tshane, Botswana, Africa",SAMTEX.rtz411.2005.edi,0.12089280535184975,True
"Kimberley, South Africa",SAMTEX.kim436.2004.edi,0.12103319181926024,True
"Zimbabwe, Africa",SAMTEX.zim109.2005.edi,0.12126768850922427,True
"Kang to Ghazi, Botswana, Africa",SAMTEX.k2g005.2006.edi,0.12177365548522355,True
"Windhoek, Namibia, Africa",SAMTEX.win020.2006.edi,0.12252044166225616,True
"Windhoek, Namibia, Africa",SAMTEX.win016.2006.edi,0.12283362771360982,True
